Linker script written to: demos/sorted_list_lpc4078.ld
CSV file written to: demos/functions-lpc4078.csv

Function Size Summary:
------------------------------------------------------------------------------------------
Index       Size     New Addr Function Name                                     
  369        8 B       0x6ac8 _ZNSt3pmr12_GLOBAL__N_112newdel_res_t11do_allocateEjj
  370        8 B       0x6ad0 _ZTINSt3pmr15memory_resourceE                     
  371        8 B       0x6ad8 _ZTISt9exception                                  
  372        8 B       0x6ae0 _ZTISt9type_info                                  
  373        6 B       0x6ae8 _ZN3hal8cortex_m11dwt_counter16driver_frequencyEv 
  374        6 B       0x6af0 _ZN3hal8cortex_m11dwt_counter22register_cpu_frequencyEf
  375        6 B       0x6af8 _ZNSt3pmr12_GLOBAL__N_110null_res_t11do_allocateEjj
  376        6 B       0x6b00 _ZdlPvjSt11align_val_t                            
  377        6 B       0x6b08 __aeabi_unwind_cpp_pr0                            
  378        6 B       0x6b10 __cxa_guard_abort                                 
  379        6 B       0x6b18 __cxa_guard_release                               
  380        6 B       0x6b20 __wrap___cxa_call_unexpected                      
  381        6 B       0x6b28 _exit                                             
  382        4 B       0x6b30 _ZN2ke22extract_si_parent_infoEPKv                
  383        4 B       0x6b34 _ZNKSt9type_info14__is_pointer_pEv                
  384        4 B       0x6b38 _ZNKSt9type_info15__is_function_pEv               
  385        4 B       0x6b3c _ZdlPv                                            
  386        4 B       0x6b40 _ZdlPvSt11align_val_t                             
  387        4 B       0x6b44 _ZdlPvj                                           
  388        2 B       0x6b48 _Unwind_DebugHook                                 
  389        2 B       0x6b4c _Z17terminate_handlerv                            
  390        2 B       0x6b50 _ZN12_GLOBAL__N_113constant_initD1Ev              
  391        2 B       0x6b54 _ZN12_GLOBAL__N_113constant_initD2Ev              
  392        2 B       0x6b58 _ZN2ke6get_luEPv                                  
  393        2 B       0x6b5c _ZN2ke8get_su16EPv                                
  394        2 B       0x6b60 _ZNSt3pmr12_GLOBAL__N_110null_res_t13do_deallocateEPvjj
  395        2 B       0x6b64 _ZNSt3pmr12_GLOBAL__N_110null_res_tD1Ev           
  396        2 B       0x6b68 _ZNSt3pmr12_GLOBAL__N_110null_res_tD2Ev           
  397        2 B       0x6b6c _ZNSt3pmr12_GLOBAL__N_112newdel_res_tD1Ev         
  398        2 B       0x6b70 _ZNSt3pmr12_GLOBAL__N_112newdel_res_tD2Ev         
  399        2 B       0x6b74 _ZNSt3pmr12_GLOBAL__N_113constant_initINS0_10null_res_tEED1Ev
  400        2 B       0x6b78 _ZNSt3pmr12_GLOBAL__N_113constant_initINS0_10null_res_tEED2Ev
  401        2 B       0x6b7c _ZNSt3pmr12_GLOBAL__N_113constant_initINS0_12newdel_res_tEED1Ev
  402        2 B       0x6b80 _ZNSt3pmr12_GLOBAL__N_113constant_initINS0_12newdel_res_tEED2Ev
  403        2 B       0x6b84 _ZNSt3pmr12_GLOBAL__N_113constant_initISt6atomicIPNS_15memory_resourceEEED1Ev
  404        2 B       0x6b88 _ZNSt3pmr12_GLOBAL__N_113constant_initISt6atomicIPNS_15memory_resourceEEED2Ev
  405        2 B       0x6b8c _ZNSt3pmr15memory_resourceD1Ev                    
  406        2 B       0x6b90 _ZNSt3pmr15memory_resourceD2Ev                    
  407        2 B       0x6b94 _ZNSt9exceptionD1Ev                               
  408        2 B       0x6b98 _ZNSt9exceptionD2Ev                               
  409        2 B       0x6b9c _ZNSt9type_infoD1Ev                               
  410        2 B       0x6ba0 _ZNSt9type_infoD2Ev                               
  411        2 B       0x6ba4 __retarget_lock_acquire_recursive                 
  412        2 B       0x6ba8 __retarget_lock_release_recursive                 
  413        2 B       0x6bac __wrap___aeabi_unwind_cpp_pr0                     
  414        2 B       0x6bb0 __wrap___gnu_unwind_pr_common                     
  415        2 B       0x6bb4 __wrap___gxx_personality_v0                       
  416        2 B       0x6bb8 __wrap__sig_func                                  
  417        2 B       0x6bbc __wrap_deregister_tm_clones                       
  418        2 B       0x6bc0 __wrap_register_tm_clones                         
  419        2 B       0x6bc4 arm_halt_isr                                      
  420        2 B       0x6bc8 arm_ignore_isr                                    
